"itemType","itemName","colors","foodType","price","seasonalItem"
"seed","Bluebonnet","","","3.99",""
"seed","Cabbage","","vegetable","4.99",""
"seed","Carrots","","vegetable","4.99",""
"seed","Strawberry","","Fruit","6.99",""
"Bouquet","""Love, For Her Bouquet""","[""Black"",""Burgundy"",""Red""]","","24.99","true"
"Bouquet","""Love, For Him Bouquet""","[""Black"",""Navy"",""Violet""]","","24.99","true"
"Bouquet","Mustard Meadow Bouquet","[""Beige"",""White"",""Yellow""]","","18.99","false"
"Flower","Baby's Breath","","","6.99",""
"Flower","Bluebonnet","","","8.99",""
"Flower","Daffodill","","","6.99",""
"Flower","Foxglove","","","5.99",""
"Flower","Orchid","","","10.99",""
"growthMedium","Down To Earth All Purpose Fertilizer","","","9.99",""
"growthMedium","FoxFarm Happy Frog","","","34.99",""
"growthMedium","FoxFarm Ocean Forest","","","33.99",""
"growthMedium","Harvest Hero Enhanced Pearlite Mix","","","26.99",""
"gardenTools","Flower Trowel","","","5.99",""
"gardenTools","Pruning Shears","","","8.99",""